HomeTeam_AwayTeam_Match_ID,Date,HomeTeamWinOdd,HomeTeamDrawOdd,HomeTeamLoseOdd,BtsYes,BtsNo,Over_05,Over_15,Over_25,Over_35,Over_45,Over_05,Over_15,Over_25,Over_35,Over_45,HandiCap_min2_W,HandiCap_min1_W,HandiCap_plus1_W,HandiCap_plus2_W,HandiCap_min2_D,HandiCap_min1_D,HandiCap_plus1_D,HandiCap_plus2_D,HandiCap_min2_L,HandiCap_min1_L,HandiCap_plus1_L,HandiCap_plus2_L
england-panama-ddPXbJRk,24 Jun 2018,1.22,6.35,17.54,2.70,1.43,1.04,1.26,1.81,3.07,5.73,11.84,3.87,2.04,1.38,1.14,2.84,1.69,1.03,,3.77,3.74,13.00,,2.00,3.97,36.00,
germany-sweden-KfGl93kc,23 Jun 2018,1.45,4.64,7.63,1.78,1.97,1.03,1.21,1.66,2.64,4.75,13.82,4.49,2.25,1.48,1.19,4.01,2.20,1.09,-,4.34,3.66,8.50,-,1.58,2.64,18.00,-
belgium-tunisia-I5QTaaCq,23 Jun 2018,1.33,5.15,11.84,2.10,1.68,1.05,1.26,1.84,3.08,5.94,11.50,3.84,2.00,1.37,1.13,3.66,2.04,1.06,,4.06,3.43,10.00,,1.69,3.11,25.00,
serbia-switzerland-vsrSi2KM,22 Jun 2018,2.78,3.05,2.88,1.98,1.77,1.10,1.46,2.45,4.64,9.94,6.99,2.70,1.55,1.19,1.06,15.51,5.75,1.37,1.09,7.39,4.05,4.31,8.07,1.11,1.43,6.52,17.38
argentina-croatia-IV9KYMDp,21 Jun 2018,2.05,3.28,4.13,1.94,1.82,1.09,1.41,2.31,4.31,9.03,7.85,2.85,1.62,1.21,1.07,9.37,4.00,1.23,1.04,5.86,3.62,5.14,10.50,1.20,1.72,9.41,26.10
france-peru-vHWXsRjb,21 Jun 2018,1.60,3.88,6.60,2.34,1.57,1.09,1.45,2.36,4.56,9.49,7.48,2.76,1.59,1.20,1.06,5.87,2.72,1.10,-,4.49,3.25,7.50,-,1.39,2.31,19.00,-
denmark-australia-I7Vyso64,21 Jun 2018,1.91,3.42,4.55,2.06,1.72,1.10,1.46,2.44,4.65,10.09,7.46,2.72,1.56,1.20,1.06,8.11,3.52,1.19,1.02,5.36,3.44,5.55,15.00,1.24,1.85,11.63,36.00
iran-spain-A18AQPLN,20 Jun 2018,19.08,6.69,1.20,2.71,1.43,1.04,1.24,1.77,2.95,5.46,12.11,4.01,2.10,1.40,1.15,,61.00,4.60,2.12,,18.00,3.76,3.81,,1.01,1.59,2.65
portugal-morocco-WA96R56H,20 Jun 2018,1.70,3.67,6.01,2.06,1.72,1.06,1.36,2.16,3.92,8.06,8.93,3.12,1.72,1.25,1.08,6.14,2.88,1.11,-,4.78,3.40,7.50,-,1.35,2.16,17.00,-
russia-egypt-ANarX9xt,19 Jun 2018,1.96,3.51,4.28,2.13,1.68,1.08,1.46,2.46,4.74,10.13,7.73,2.69,1.57,1.18,1.05,8.21,3.57,1.19,1.03,5.37,3.45,5.38,10.90,1.23,1.84,10.65,30.39
poland-senegal-8fgM5k02,19 Jun 2018,2.51,3.05,3.31,2.03,1.75,1.09,1.48,2.53,4.83,10.41,7.08,2.66,1.54,1.18,1.05,13.16,5.17,1.32,1.07,6.91,3.85,4.55,8.80,1.13,1.52,7.36,19.71
tunisia-england-COm14u4S,18 Jun 2018,8.48,4.19,1.49,2.37,1.54,1.07,1.38,2.24,4.15,8.67,8.49,3.01,1.68,1.23,1.07,,23.56,2.65,1.51,,8.21,3.29,4.18,,1.07,2.35,4.72
belgium-panama-bLqc5LlM,18 Jun 2018,1.22,6.56,17.76,2.58,1.49,1.03,1.20,1.68,2.66,4.83,13.61,4.43,2.23,1.47,1.17,2.59,1.58,1.01,,3.86,3.88,18.00,,2.16,4.52,61.00,
sweden-south-korea-6iS6pKCd,18 Jun 2018,2.27,3.03,3.88,2.25,1.62,1.11,1.55,2.79,5.62,12.95,6.32,2.45,1.46,1.14,1.03,11.90,4.62,1.24,1.04,6.34,3.61,4.89,10.39,1.15,1.62,9.62,27.53
brazil-switzerland-IRgJgOkA,17 Jun 2018,1.46,4.40,8.36,2.14,1.68,1.05,1.31,2.02,3.50,6.82,9.95,3.45,1.84,1.30,1.10,4.51,2.32,1.08,,4.25,3.35,8.16,,1.53,2.69,20.76,
germany-mexico-hlO2o0cj,17 Jun 2018,1.49,4.52,7.32,1.71,2.09,1.02,1.18,1.62,2.52,4.42,14.65,4.80,2.36,1.53,1.20,4.02,2.23,1.09,1.01,4.39,3.59,7.99,10.03,1.57,2.62,17.62,28.62
costa-rica-serbia-6ijFf4z4,17 Jun 2018,5.29,3.40,1.84,2.32,1.58,1.10,1.50,2.61,5.12,11.38,6.86,2.60,1.52,1.17,1.04,42.52,14.62,1.98,1.27,13.67,6.08,3.30,5.07,1.02,1.15,3.28,7.59
croatia-nigeria-0jNhw35T,16 Jun 2018,1.68,3.75,6.07,2.11,1.67,1.07,1.39,2.26,4.16,8.61,8.65,2.99,1.67,1.23,1.07,6.00,2.82,1.12,1.01,4.67,3.37,6.77,9.52,1.36,2.22,15.94,33.78
peru-denmark-dhsTr7yh,16 Jun 2018,3.65,3.09,2.33,2.33,1.56,1.13,1.63,3.04,6.35,13.90,6.00,2.29,1.40,1.12,1.03,27.81,9.56,1.61,1.15,10.14,4.80,3.56,6.33,1.04,1.25,4.77,12.45
france-australia-rkwPqmMo,16 Jun 2018,1.26,7.16,10.39,2.24,1.59,1.02,1.21,1.68,2.68,4.88,15.08,4.40,2.24,1.47,1.18,2.77,1.66,1.05,,3.83,3.87,9.52,,2.03,4.02,25.04,
portugal-spain-xlA2SoiB,15 Jun 2018,4.42,3.23,2.03,1.96,1.79,1.08,1.41,2.29,4.25,8.87,7.99,2.87,1.66,1.22,1.07,29.92,10.61,1.79,1.22,11.33,5.47,3.57,5.57,1.04,1.20,3.70,8.80
russia-saudi-arabia-dtgWPhVC,14 Jun 2018,1.46,4.28,8.99,2.43,1.52,1.07,1.39,2.23,4.16,8.67,8.57,3.00,1.69,1.23,1.07,4.57,2.27,1.07,,4.12,3.25,8.34,,1.53,2.76,26.27,
ireland-denmark-AZNu1L7B,14 Nov 2017,3.24,2.75,2.66,2.42,1.54,1.15,1.71,3.17,6.57,13.57,5.29,2.13,1.34,1.10,1.02,23.17,8.38,1.46,1.10,8.54,4.33,3.83,7.25,1.05,1.31,6.04,16.02
italy-sweden-8Ktq0uNH,13 Nov 2017,1.48,4.01,8.10,2.55,1.49,1.07,1.43,2.40,4.45,9.29,8.01,2.75,1.57,1.19,1.05,5.01,2.44,1.07,1.01,4.21,3.22,7.52,10.37,1.48,2.58,23.27,42.66
greece-croatia-SAYz21h5,12 Nov 2017,3.78,3.40,2.03,1.87,1.91,1.06,1.33,2.09,3.72,7.39,8.83,3.19,1.74,1.26,1.08,22.31,8.77,1.75,1.22,9.44,5.09,3.67,5.68,1.05,1.24,3.76,8.49
switzerland-northern-ireland-lKZW2swa,12 Nov 2017,1.44,4.13,8.77,2.58,1.48,1.07,1.42,2.36,4.48,9.23,7.76,2.76,1.59,1.19,1.05,4.70,2.32,1.06,1.01,4.11,3.23,7.73,10.37,1.52,2.72,24.74,42.63
denmark-ireland-tfWO438n,11 Nov 2017,1.65,3.39,6.63,2.57,1.48,1.11,1.55,2.72,5.34,11.26,6.28,2.38,1.44,1.14,1.03,6.64,2.96,1.10,1.01,4.64,3.19,6.74,10.24,1.33,2.20,19.38,45.01
sweden-italy-KpVS3NNh,10 Nov 2017,3.69,2.99,2.25,2.20,1.64,1.11,1.55,2.79,5.34,11.22,6.35,2.44,1.44,1.14,1.03,25.50,9.42,1.61,1.16,9.34,4.76,3.58,6.28,1.04,1.26,4.62,11.53
croatia-greece-bVtK5qgt,09 Nov 2017,1.38,4.22,11.49,3.02,1.36,1.09,1.49,2.53,4.88,10.15,6.90,2.58,1.52,1.17,1.04,4.47,2.21,1.04,,3.93,3.14,8.51,,1.57,2.95,32.21,
northern-ireland-switzerland-M9khAPpP,09 Nov 2017,4.10,2.89,2.18,2.51,1.50,1.14,1.68,3.22,6.74,14.32,5.25,2.14,1.35,1.10,1.02,33.45,11.27,1.65,1.16,10.43,4.90,3.43,6.09,1.03,1.22,4.66,12.04
belgium-cyprus-McyW0Wwq,10 Oct 2017,1.08,12.47,34.44,2.46,1.50,1.01,1.06,1.25,1.67,2.49,24.50,8.84,3.91,2.18,1.51,1.56,1.19,1.01,,4.46,5.86,10.52,,3.89,8.75,40.27,
hungary-faroe-islands-2Lhsa1kC,10 Oct 2017,1.33,5.05,10.82,2.32,1.58,1.04,1.25,1.84,3.11,5.96,10.50,3.74,1.97,1.34,1.11,3.40,1.90,1.05,,3.90,3.51,8.76,,1.75,3.30,26.73,
portugal-switzerland-tn2M3Pzs,10 Oct 2017,1.62,3.95,5.81,1.96,1.81,1.05,1.28,1.97,3.39,6.55,9.86,3.55,1.86,1.31,1.10,5.30,2.61,1.13,1.02,4.57,3.49,6.55,9.52,1.40,2.25,13.83,29.65
france-belarus-0bDjLo77,10 Oct 2017,1.05,16.14,45.42,3.41,1.31,1.02,1.07,1.25,1.72,2.59,22.50,8.53,3.83,2.11,1.48,1.45,1.14,,,4.57,6.28,,,4.70,11.93,,
netherlands-sweden-OCCAOad2,10 Oct 2017,1.85,4.15,3.87,1.44,2.68,1.02,1.12,1.43,2.15,3.52,17.95,5.96,2.76,1.72,1.29,5.49,2.91,1.24,1.06,5.22,4.03,5.68,9.28,1.33,1.92,7.48,16.66
albania-italy-rVE6dHnc,09 Oct 2017,7.72,4.01,1.51,2.31,1.58,1.06,1.38,2.26,4.10,8.54,8.28,2.93,1.65,1.22,1.06,42.03,21.21,2.53,1.46,10.41,7.30,3.26,4.25,1.01,1.08,2.46,5.04
finland-turkey-IgrRqASA,09 Oct 2017,2.89,3.15,2.58,1.97,1.80,1.07,1.41,2.35,4.30,9.33,7.77,2.82,1.60,1.20,1.05,16.11,6.32,1.47,1.11,7.68,4.30,4.00,6.88,1.09,1.37,5.40,13.33
israel-spain-z1cdt5da,09 Oct 2017,13.02,6.25,1.24,2.01,1.77,1.02,1.14,1.50,2.31,3.89,16.10,5.35,2.58,1.60,1.24,36.55,30.50,4.05,2.10,10.81,10.77,3.98,3.94,1.01,1.03,1.61,2.60
moldova-austria-tlRWZYbn,09 Oct 2017,8.54,4.72,1.40,2.19,1.64,1.05,1.27,1.91,3.24,6.13,10.31,3.67,1.91,1.32,1.11,,21.46,2.91,1.62,,7.91,3.48,4.07,,1.06,2.07,3.89
north-macedonia-liechtenstein-rR04vqRB,09 Oct 2017,1.09,9.37,30.89,3.54,1.28,1.01,1.12,1.45,2.16,3.55,16.25,5.73,2.71,1.67,1.27,1.73,1.24,1.01,,3.97,4.99,10.16,,3.44,8.51,44.62,
serbia-georgia-4A8iW5G1,09 Oct 2017,1.13,8.80,23.37,2.75,1.43,1.02,1.13,1.49,2.28,3.81,15.40,5.44,2.55,1.62,1.25,2.03,1.38,1.01,,3.83,4.37,9.52,,2.72,5.80,40.36,
ukraine-croatia-Uq2CedJ0,09 Oct 2017,3.02,3.47,2.32,1.73,2.05,1.04,1.28,1.92,3.29,6.44,10.53,3.57,1.91,1.32,1.10,15.39,6.25,1.56,1.17,7.85,4.61,4.00,6.29,1.09,1.34,4.33,9.93
wales-ireland-pb3Arz6O,09 Oct 2017,2.16,3.21,3.74,2.17,1.65,1.09,1.48,2.56,5.11,10.40,7.00,2.62,1.52,1.16,1.03,10.59,4.27,1.24,1.04,5.97,3.57,4.85,9.41,1.18,1.67,9.17,24.56
czech-republic-san-marino-rXydsWO2,08 Oct 2017,1.01,29.30,74.31,5.97,1.13,1.00,1.01,1.02,1.10,1.29,41.00,29.00,15.00,6.75,3.45,,,,,,,,,,,,
germany-azerbaijan-OS8ZPUgS,08 Oct 2017,1.03,21.97,50.40,3.07,1.37,1.01,1.03,1.13,1.38,1.91,27.50,13.05,5.44,2.92,1.88,1.29,1.09,,,5.47,7.98,,,6.16,15.64,,
denmark-romania-8xrXmja1,08 Oct 2017,1.35,4.96,10.32,2.26,1.62,1.04,1.24,1.83,3.05,5.69,10.91,3.86,2.01,1.36,1.13,3.47,1.92,1.05,,3.95,3.55,8.78,,1.73,3.19,25.03,
lithuania-england-EZYMAD6E,08 Oct 2017,15.11,6.14,1.24,2.52,1.50,1.04,1.22,1.75,2.85,5.36,11.56,4.07,2.10,1.40,1.14,,38.46,4.19,2.05,,10.51,3.73,3.76,,1.02,1.64,2.74
poland-montenegro-YaVflagp,08 Oct 2017,1.29,5.72,11.16,1.90,1.89,1.02,1.13,1.47,2.22,3.72,16.43,5.61,2.68,1.66,1.26,2.70,1.68,1.06,1.01,4.02,4.00,9.06,10.95,2.01,3.65,21.41,34.94
slovakia-malta-zNQozUZP,08 Oct 2017,1.05,16.53,46.77,4.22,1.22,1.02,1.07,1.26,1.69,2.51,22.50,8.43,3.78,2.16,1.50,1.35,1.10,,,4.90,7.50,,,5.50,14.00,,
slovenia-scotland-0IB0TlrU,08 Oct 2017,2.95,3.29,2.55,2.09,1.71,1.08,1.48,2.51,5.02,10.44,7.49,2.60,1.53,1.16,1.04,17.40,6.70,1.50,1.12,7.87,4.32,3.86,6.66,1.08,1.35,5.29,13.15
andorra-portugal-6gaY0NKa,07 Oct 2017,59.62,24.25,1.02,5.20,1.17,1.01,1.04,1.13,1.39,1.93,29.00,12.75,5.40,2.82,1.83,,,-,7.50,,,-,6.13,,,-,1.21
belarus-netherlands-Cf0aR1Cq,07 Oct 2017,14.64,7.31,1.20,2.07,1.73,1.01,1.12,1.43,2.15,3.48,17.72,5.99,2.80,1.71,1.29,,34.20,4.63,2.31,,11.73,4.18,3.95,,1.02,1.51,2.31
bulgaria-france-OWbosTTQ,07 Oct 2017,14.24,6.55,1.23,2.17,1.67,1.02,1.15,1.54,2.31,3.98,15.54,5.33,2.51,1.60,1.22,,32.12,4.16,2.14,,10.83,3.96,3.92,,1.02,1.60,2.56
switzerland-hungary-M1Lk9oDJ,07 Oct 2017,1.34,4.99,10.56,2.24,1.63,1.04,1.24,1.85,3.11,5.84,10.89,3.87,1.98,1.35,1.12,3.56,1.98,1.06,,3.96,3.49,8.57,,1.71,3.15,24.06,
bosnia-herzegovina-belgium-t0iXbA8e,07 Oct 2017,3.49,3.73,2.08,1.51,2.52,1.02,1.17,1.60,2.44,4.29,14.96,4.94,2.38,1.54,1.20,15.04,6.57,1.70,1.23,8.53,5.12,4.06,5.77,1.08,1.29,3.54,7.37
sweden-luxembourg-joa3QLRk,07 Oct 2017,1.05,17.98,36.44,3.35,1.30,1.02,1.08,1.29,1.78,2.70,22.50,7.54,3.48,2.02,1.43,1.55,1.18,,,4.21,5.41,,,4.13,12.02,,
austria-serbia-WELJZvNg,06 Oct 2017,3.90,3.41,2.04,1.94,1.84,1.06,1.35,2.16,3.86,7.79,8.52,3.12,1.71,1.24,1.07,22.88,8.78,1.74,1.21,9.40,5.06,3.64,5.58,1.05,1.23,3.73,8.61
italy-north-macedonia-6q4SrbIc,06 Oct 2017,1.11,9.97,30.06,2.85,1.41,1.01,1.13,1.46,2.23,3.63,17.22,5.52,2.66,1.65,1.27,1.95,1.32,,,3.96,4.69,,,2.89,6.48,,
spain-albania-pC4qq7Ct,06 Oct 2017,1.08,12.96,39.36,3.06,1.37,1.02,1.09,1.33,1.91,2.91,22.50,7.02,3.23,1.89,1.38,1.67,1.23,,,4.17,5.24,,,3.54,8.35,,
croatia-finland-C60uaVPh,06 Oct 2017,1.13,8.18,25.43,3.17,1.34,1.03,1.19,1.66,2.62,4.68,13.39,4.49,2.25,1.46,1.17,2.22,1.43,1.01,,3.70,4.06,9.95,,2.55,5.69,51.53,
kosovo-ukraine-8Op4n98i,06 Oct 2017,20.81,8.03,1.15,2.67,1.44,1.02,1.15,1.53,2.41,4.05,16.08,5.16,2.47,1.56,1.22,,35.42,5.11,2.49,,9.23,4.18,3.80,,1.02,1.46,2.21
turkey-iceland-nLdHfGY6,06 Oct 2017,1.86,3.45,4.64,1.99,1.79,1.06,1.35,2.19,3.89,8.15,8.59,3.10,1.69,1.24,1.07,7.28,3.27,1.18,1.03,5.13,3.50,5.61,10.67,1.27,1.91,11.09,29.39
georgia-wales-xYwXUGyP,06 Oct 2017,4.70,3.33,1.89,2.21,1.64,1.09,1.47,2.50,4.89,10.11,6.90,2.64,1.53,1.17,1.04,31.54,11.69,1.86,1.23,10.67,5.43,3.43,5.28,1.02,1.18,3.51,8.18
england-slovenia-t43EVmrs,05 Oct 2017,1.31,5.40,11.40,2.26,1.62,1.04,1.24,1.81,2.96,5.63,11.87,3.92,2.03,1.38,1.13,3.25,1.86,1.05,,3.87,3.60,9.09,,1.80,3.32,26.22,
montenegro-denmark-SbCoBM0c,05 Oct 2017,3.56,3.38,2.16,1.81,1.96,1.05,1.30,2.03,3.49,6.79,9.59,3.36,1.79,1.29,1.09,19.68,7.82,1.67,1.20,8.99,4.90,3.79,5.96,1.06,1.28,4.02,9.08
northern-ireland-germany-xzkAJSWe,05 Oct 2017,10.35,5.29,1.33,2.11,1.68,1.03,1.22,1.77,2.86,5.36,12.39,4.11,2.08,1.40,1.14,,24.35,3.27,1.76,,8.96,3.62,3.97,,1.05,1.89,3.33
romania-kazakhstan-lEUvYCTb,05 Oct 2017,1.24,5.81,13.06,2.34,1.56,1.03,1.20,1.68,2.64,4.80,12.37,4.26,2.16,1.44,1.17,2.80,1.68,1.03,,3.82,3.78,10.34,,2.02,3.94,32.71,
scotland-slovakia-Kf2IU7cm,05 Oct 2017,2.29,3.13,3.45,2.03,1.75,1.08,1.44,2.44,4.61,9.80,7.29,2.69,1.54,1.18,1.05,11.39,4.58,1.28,1.06,6.25,3.70,4.64,8.73,1.15,1.59,7.88,21.01
armenia-poland-zqzJBgi8,05 Oct 2017,12.65,6.19,1.25,2.03,1.76,1.02,1.14,1.49,2.27,3.77,16.61,5.39,2.57,1.63,1.25,,30.29,4.01,2.09,,10.42,3.98,3.96,,1.03,1.63,2.61
azerbaijan-czech-republic-0dzQGBbO,05 Oct 2017,4.24,3.33,1.97,2.05,1.74,1.07,1.40,2.33,4.23,8.89,7.62,2.84,1.60,1.21,1.06,27.77,10.20,1.80,1.23,10.44,5.24,3.52,5.48,1.03,1.21,3.66,8.47
austria-georgia-jy46qGjI,05 Sep 2017,1.37,4.86,9.41,2.18,1.66,1.03,1.25,1.86,3.14,5.91,11.02,3.82,1.97,1.35,1.12,3.64,2.00,1.06,,4.02,3.51,8.39,,1.68,3.07,23.32,
iceland-ukraine-YF1y0BAn,05 Sep 2017,2.93,3.10,2.60,1.98,1.80,1.08,1.41,2.38,4.38,9.15,7.74,2.82,1.58,1.19,1.05,16.23,6.26,1.46,1.11,7.72,4.26,4.01,6.93,1.09,1.37,5.47,13.61
ireland-serbia-zBQzZhEh,05 Sep 2017,3.08,2.97,2.62,2.09,1.72,1.10,1.50,2.66,5.14,11.27,6.58,2.56,1.48,1.16,1.04,18.70,7.04,1.47,1.11,8.08,4.33,3.95,7.06,1.07,1.34,5.56,14.51
italy-israel-r3IHmm4P,05 Sep 2017,1.10,10.03,30.65,2.99,1.38,1.02,1.12,1.43,2.15,3.53,16.00,5.89,2.77,1.70,1.29,1.86,1.29,1.01,,3.94,4.74,9.99,,3.08,7.20,45.89,
kosovo-finland-2NwDpmw4,05 Sep 2017,4.54,3.55,1.83,2.07,1.72,1.07,1.38,2.27,4.14,8.85,8.28,2.92,1.64,1.21,1.06,32.76,11.92,1.94,1.28,11.09,5.70,3.45,5.00,1.02,1.17,3.28,7.10
liechtenstein-spain-Sh5Oqv3i,05 Sep 2017,69.59,35.06,1.01,4.84,1.17,1.00,1.01,1.06,1.17,1.40,41.00,19.00,9.26,4.95,2.87,,,,14.00,,,,10.00,,,,1.08
moldova-wales-Am9mXo1e,05 Sep 2017,16.37,5.97,1.23,2.85,1.41,1.04,1.27,1.89,3.24,6.15,10.49,3.63,1.93,1.33,1.11,,42.83,4.14,2.03,,10.80,3.58,3.70,,1.02,1.67,2.84
